,State,Chamber,Name,Party,Date,End
0,idaho,governor,butch otter,r,2007-01-01,2019
1,utah,governor,gary herbert,r,2009-08-11,2021
2,new york,governor,andrew cuomo,d,2011-01-01,2018
3,new mexico,governor,susana martinez,r,2011-01-01,2019
4,michigan,governor,rick snyder,r,2011-01-01,2019
5,wisconsin,governor,scott walker,r,2011-01-03,2019
6,nevada,governor,brian sandoval,r,2011-01-03,2019
7,california,governor,jerry brown,d,2011-01-03,2019
8,minnesota,governor,mark dayton,d,2011-01-03,2019
9,wyoming,governor,matt mead,r,2011-01-03,2019
10,florida,governor,rick scott,r,2011-01-04,2019
11,connecticut,governor,dannel malloy,d,2011-01-05,2019
12,maine,governor,paul lepage,r,2011-01-05,2019
13,south dakota,governor,dennis daugaard,r,2011-01-08,2019
14,oklahoma,governor,mary fallin,r,2011-01-10,2019
15,ohio,governor,john kasich,r,2011-01-10,2019
16,georgia,governor,nathan deal,r,2011-01-10,2019
17,colorado,governor,john hickenlooper,d,2011-01-11,2019
18,tennessee,governor,bill haslam,r,2011-01-15,2019
19,mississippi,governor,phil bryant,r,2012-01-10,2020
20,montana,governor,steve bullock,d,2013-01-07,2021
21,washington,governor,jay inslee,d,2013-01-16,2021
22,alaska,governor,bill walker,i,2014-12-01,2018
23,hawaii,governor,david ige,d,2014-12-01,2018
24,arizona,governor,doug ducey,r,2015-01-05,2019
25,rhode island,governor,gina raimondo,d,2015-01-06,2019
26,nebraska,governor,pete ricketts,r,2015-01-08,2019
27,massachusetts,governor,charlie baker,r,2015-01-08,2019
28,illinois,governor,bruce rauner,r,2015-01-12,2019
29,arkansas,governor,asa hutchinson,r,2015-01-13,2019
30,texas,governor,greg abbott,r,2015-01-20,2019
31,pennsylvania,governor,tom wolf,d,2015-01-20,2019
32,maryland,governor,larry hogan,r,2015-01-21,2019
33,oregon,governor,kate brown,d,2015-02-18,2019
34,kentucky,governor,matt bevin,r,2015-12-08,2019
35,louisiana,governor,john bel edwards,d,2016-01-11,2020
36,north dakota,governor,doug burgum,r,2016-12-15,2020
37,north carolina,governor,roy cooper,d,2017-01-01,2021
38,vermont,governor,phil scott,r,2017-01-05,2019
39,new hampshire,governor,chris sununu,r,2017-01-05,2019
40,indiana,governor,eric holcomb,r,2017-01-09,2021
41,west virginia,governor,jim justice,r,2017-01-16,2021
42,delaware,governor,john carney,d,2017-01-17,2021
43,south carolina,governor,henry mcmaster,r,2017-01-24,2019
44,alabama,governor,kay ivey,r,2017-04-10,2019
45,iowa,governor,kim reynolds,r,2017-05-24,2019
46,virginia,governor,ralph northam,d,2018-01-13,2022
47,new jersey,governor,phil murphy,d,2018-01-16,2022
48,kansas,governor,jeff colyer,r,2018-01-31,2019
49,missouri,governor,mike parson,r,2018-06-01,2021
