,State,Chamber,Name,Party,Date,End
0,north dakota,governor,john hoeven,r,2000-12-15,2012
1,texas,governor,rick perry,r,2000-12-21,2014
2,hawaii,governor,linda lingle,r,2002-12-02,2010
3,new mexico,governor,bill richardson,d,2003-01-01,2010
4,michigan,governor,jennifer granholm,d,2003-01-01,2010
5,wyoming,governor,dave freudenthal,d,2003-01-06,2010
6,minnesota,governor,tim pawlenty,r,2003-01-06,2010
7,wisconsin,governor,jim doyle,d,2003-01-06,2010
8,south dakota,governor,mike rounds,r,2003-01-07,2010
9,rhode island,governor,donald carcieri,r,2003-01-07,2010
10,maine,governor,john baldacci,d,2003-01-08,2010
11,vermont,governor,jim douglas,r,2003-01-09,2010
12,oregon,governor,ted kulongoski,d,2003-01-13,2010
13,georgia,governor,sonny perdue,r,2003-01-13,2010
14,oklahoma,governor,brad henry,d,2003-01-13,2010
15,south carolina,governor,mark sanford,r,2003-01-15,2010
16,tennessee,governor,phil bredesen,d,2003-01-18,2010
17,alabama,governor,bob riley,r,2003-01-20,2010
18,pennsylvania,governor,ed rendell,d,2003-01-21,2010
19,california,governor,arnold schwarzenegger,r,2003-11-17,2010
20,mississippi,governor,haley barbour,r,2004-01-13,2011
21,connecticut,governor,jodi rell,r,2004-07-01,2010
22,montana,governor,brian schweitzer,d,2005-01-03,2012
23,new hampshire,governor,john lynch,d,2005-01-06,2012
24,indiana,governor,mitch daniels,r,2005-01-10,2012
25,washington,governor,christine gregoire,d,2005-01-12,2012
26,nebraska,governor,dave heineman,r,2005-01-20,2014
27,idaho,governor,butch otter,r,2007-01-01,2014
28,nevada,governor,jim gibbons,r,2007-01-01,2010
29,florida,governor,charlie crist,i,2007-01-02,2010
30,massachusetts,governor,deval patrick,d,2007-01-04,2014
31,ohio,governor,ted strickland,d,2007-01-08,2010
32,arkansas,governor,mike beebe,d,2007-01-09,2014
33,colorado,governor,bill ritter,d,2007-01-09,2010
34,iowa,governor,chet culver,d,2007-01-12,2010
35,maryland,governor,martin o'malley,d,2007-01-17,2014
36,kentucky,governor,steve beshear,d,2007-12-11,2011
37,louisiana,governor,bobby jindal,r,2008-01-14,2011
